nickname,first_name,last_name,email,password,date_of_birth,avatar,bio,is_private
krogers,Kaitlyn,Rogers,krogers@example.com,password123,1983-01-21,https://api.dicebear.com/7.x/adventurer/svg?seed=Justin,Modern support start fact war.,true
rlewis,Roger,Lewis,rlewis@example.com,password123,1998-04-07,https://api.dicebear.com/7.x/adventurer/svg?seed=John,,false
jday,John,Day,jday@example.com,password123,1997-12-01,,,false
dmartinez,David,Martinez,dmartinez@example.com,password123,1983-06-20,https://api.dicebear.com/7.x/adventurer/svg?seed=Timothy,Reduce care every drop try medical.,false
lbradley,Laura,Bradley,lbradley@example.com,password123,1986-05-28,https://api.dicebear.com/7.x/adventurer/svg?seed=Sarah,,true
tcastro,Thomas,Castro,tcastro@example.com,password123,1979-04-21,,Bad run serious sort resource realize knowledge age.,true
rmccoy,Raymond,Mccoy,rmccoy@example.com,password123,1978-07-10,https://api.dicebear.com/7.x/adventurer/svg?seed=Kelsey,Keep budget receive election military would.,false
bbrown,Bruce,Brown,bbrown@example.com,password123,1998-01-19,https://api.dicebear.com/7.x/adventurer/svg?seed=Patrick,Ball financial door money.,false
awilson,Andrew,Wilson,awilson@example.com,password123,2005-11-20,https://api.dicebear.com/7.x/adventurer/svg?seed=Jeremy,Them worry power power she.,false
twright,Tara,Wright,twright@example.com,password123,1999-06-02,,Break take something image approach everyone.,false
zmurray,Zachary,Murray,zmurray@example.com,password123,1983-06-16,,,false
egreen,Erin,Green,egreen@example.com,password123,1992-11-01,https://api.dicebear.com/7.x/adventurer/svg?seed=Tamara,,true
rsantana,Ronnie,Santana,rsantana@example.com,password123,2003-11-25,https://api.dicebear.com/7.x/adventurer/svg?seed=Donna,,false
jmclean,Jamie,Mclean,jmclean@example.com,password123,2000-10-17,https://api.dicebear.com/7.x/adventurer/svg?seed=Sydney,,false
mclark,Mark,Clark,mclark@example.com,password123,1979-07-03,https://api.dicebear.com/7.x/adventurer/svg?seed=Antonio,Property goal sort chair point man water.,true
sallen,Stephanie,Allen,sallen@example.com,password123,1995-03-18,https://api.dicebear.com/7.x/adventurer/svg?seed=Rebecca,,false
smoore,Scott,Moore,smoore@example.com,password123,1991-11-29,,,true
agarcia,Alexander,Garcia,agarcia@example.com,password123,1984-09-24,,,false
zparker,Zachary,Parker,zparker@example.com,password123,2003-04-03,https://api.dicebear.com/7.x/adventurer/svg?seed=Gail,,true
dgreen,Deborah,Green,dgreen@example.com,password123,1974-12-16,https://api.dicebear.com/7.x/adventurer/svg?seed=Melissa,,true
kbenson,Keith,Benson,kbenson@example.com,password123,1995-06-10,,,true
vmartin,Vanessa,Martin,vmartin@example.com,password123,1996-10-10,https://api.dicebear.com/7.x/adventurer/svg?seed=Lisa,,false
